ThreadId	ThreadCount	Key	ResultCount	Time
0	1	7289	0	5635900
0	1	5833	0	6484000
0	1	2643	0	18620600
0	1	58	2475	87927700
0	1	241	15	4401600
0	1	17	6948	99035000
0	1	31	2493	36341800
0	1	28	0	5631900
0	1	116	0	6699800
0	1	5011	0	6022900
0	1	12	1001061	13451499100
0	1	178	0	10421700
0	1	1582	6	4660100
0	1	4086	30	5663000
0	1	1011	0	8818500
0	1	1260	0	6326000
0	1	5523	1192	27363400
0	1	2621	0	9203200
0	1	75	0	12281600
0	1	507	116	10281600
0	1	6635	8	4691600
0	1	143	0	8045500
0	1	799	17	4212900
0	1	51	0	6365400
0	1	3314	0	7974200
0	1	87	7497	133654800
0	1	2128	0	6023600
0	1	9880	0	6494800
0	1	208	73	5747800
0	1	122	0	5090800
0	1	1036	12	4116300
0	1	912	17	3108100
0	1	5278	551	11205500
0	1	23	2627	38193700
0	1	157	0	6106900
0	1	12	1001061	13552046900
0	1	66	6049	79017400
0	1	1568	354	8882300
0	1	4726	616	11146600
0	1	27	0	5627700
0	1	7296	0	44468900
0	1	1224	0	6205300
0	1	4681	62	6942600
0	1	240	1258	34021600
0	1	3967	0	5859900
0	1	1758	0	8187400
0	1	139	0	6442100
0	1	7314	1	3788300
0	1	843	0	4598900
0	1	7937	0	5811700
0	1	683	245	8214300
0	1	679	21	3585000
0	1	84	0	5324300
0	1	3156	0	26030300
0	1	21	9027	124971200
0	1	1967	0	6281600
0	1	1067	0	15002600
0	1	3242	1	7282700
0	1	1749	0	5074200
0	1	3981	1249	29357200
0	1	805	19	3131300
0	1	83	0	5526700
0	1	27	0	17390700
0	1	102	8	15492000
0	1	1756	0	8817000
0	1	2789	0	11628000
0	1	7256	285	16611700
0	1	290	0	5502100
0	1	96	1	9322900
0	1	5607	9	3104400
0	1	30	0	5647200
0	1	8454	0	7027900
0	1	24	41	14054200
0	1	3331	45	3540700
0	1	358	36	3327000
0	1	1193	0	5023900
0	1	9711	0	15932100
0	1	8184	0	10822300
0	1	9778	0	9414500
0	1	48	0	10867700
0	1	360	0	15587500
0	1	863	17	5512600
0	1	9361	125	4910100
0	1	12	1001061	13707573300
0	1	12	1001061	13334670600
0	1	2265	0	11586900
0	1	79	0	10134200
0	1	6818	0	10362500
0	1	1168	637	29066600
0	1	5053	2	6110600
0	1	280	2	6890600
0	1	2523	0	12155000
0	1	2027	0	134447300
0	1	3627	13	6729200
0	1	24	41	6380900
0	1	63	0	8993600
0	2	2349	0	7451400
0	2	12	1001061	15649967500
0	2	18	6532	90418700
0	2	65	0	6066300
0	2	45	0	44969900
0	2	12	1001061	16234176800
0	2	12	1001061	16509366800
0	2	4718	0	10967000
0	2	733	0	50018700
0	2	616	51	8591200
0	2	1502	46	5635200
0	2	1148	6819	123507500
0	2	83	0	6832200
0	2	10425	72	5838400
0	2	3332	0	5150600
0	2	29	0	6379900
0	2	121	0	11171800
0	2	31	2493	42109100
0	2	28	0	5910700
0	2	288	3202	65500800
0	2	293	3574	50286000
0	2	12	1001061	15904377600
0	2	106	1	8761400
0	2	5319	0	16367100
0	2	4438	0	17138000
0	2	1597	0	10441100
0	2	1072	0	13550400
0	2	5420	0	8205600
0	2	32	1	6701900
0	2	19	0	8544600
0	2	856	0	8875100
0	2	547	0	7692500
0	2	54	0	6381100
0	2	241	15	4784900
0	2	845	44	6681100
0	2	16	218	6630500
0	2	137	0	5810500
0	2	12	1001061	16456728700
0	2	37	0	11902200
0	2	152	13	46248700
0	2	74	0	17130300
0	2	7449	3	7290500
0	2	153	0	8812200
0	2	68	0	8139300
0	2	167	0	6821000
0	2	3717	0	6707400
0	2	9315	982	20188000
0	2	101	0	9689500
0	2	27	0	16921500
0	2	305	0	9585600
0	2	4701	18	5250000
0	2	506	1746	29397400
0	2	300	34	3832000
0	2	20	1213787	18966762600
0	2	2324	0	144744900
0	2	220	158	12239000
0	2	4921	0	10912200
0	2	3943	11	7076700
0	2	8651	0	9411100
0	2	13	1031830	16849141300
0	2	2923	1276	25230000
0	2	13	1031830	17232582700
0	2	2607	0	6145200
0	2	25	0	63405100
0	2	18	6532	122352800
0	2	128	0	5913700
0	2	17	6948	130558000
0	2	7094	52	4555400
0	2	4721	0	6239900
0	2	2205	205	11079400
0	2	63	0	12269800
0	2	514	193	12151700
0	2	2771	1	3404300
0	2	3960	0	6164400
0	2	125	0	6571700
0	2	192	0	8351800
0	2	16	218	19494000
0	2	165	0	5459800
0	2	2897	0	126898400
0	2	113	0	13109400
0	2	6736	0	8852300
0	2	13	1031830	16401295200
0	2	284	0	10559300
0	2	185	0	8592100
0	2	3576	0	13963800
0	2	22	3791	75995700
0	2	63	0	5749500
0	2	385	102	6727100
0	2	66	6049	85200000
0	2	438	0	7012400
0	2	23	2627	46932400
